Keyword,CatID,CatID_fixed,map_status,note
switch spark,SPARK,,NO_MATCH,not found in ucs_catid_list
flame burst,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
flame whoosh,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
flame flicker,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
fire pulse,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
fire snap,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
heat burst,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
heat crackle,FIRE,,AMBIGUOUS,Category 'FIRE' has 10 CatIDs
heat pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
light glint,GLINT,,NO_MATCH,not found in ucs_catid_list
light flicker,FLICKER,,NO_MATCH,not found in ucs_catid_list
light pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
light flare,FLARE,,NO_MATCH,not found in ucs_catid_list
light bloom,FLARE,,NO_MATCH,not found in ucs_catid_list
lens flare,FLARE,,NO_MATCH,not found in ucs_catid_list
glow flicker,FLICKER,,NO_MATCH,not found in ucs_catid_list
shadow movement,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
dark swirl,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
dark pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
dark burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
orb pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
orb hum,HUM,,NO_MATCH,not found in ucs_catid_list
orb whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
orb resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
impact pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
impact bloom,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
impact scatter,DEBRIS,,NO_MATCH,not found in ucs_catid_list
impact fracture,CRACK,,NO_MATCH,not found in ucs_catid_list
impact spray,DEBRIS,,NO_MATCH,not found in ucs_catid_list
impact smear,FRICTION,,AMBIGUOUS,SubCategory 'FRICTION' maps to 10 CatIDs
impact wobble,WOBBLE,,NO_MATCH,not found in ucs_catid_list
tonal whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
tonal sweep,SWEEP,,NO_MATCH,not found in ucs_catid_list
tonal rise,RISE,,NO_MATCH,not found in ucs_catid_list
tonal drop,DROP,,NO_MATCH,not found in ucs_catid_list
pitch rise,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
pitch fall,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
frequency sweep,SWEEP,,NO_MATCH,not found in ucs_catid_list
resonant sweep,SWEEP,,NO_MATCH,not found in ucs_catid_list
cinematic hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
cinematic pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
cinematic whoosh,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
cinematic flare,FLARE,,NO_MATCH,not found in ucs_catid_list
cinematic swell,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
dramatic rise,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
dramatic drop,FALL,,NO_MATCH,not found in ucs_catid_list
dramatic hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
sweetener rise,PULSE,,NO_MATCH,not found in ucs_catid_list
sweetener hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
sweetener burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
texture burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
texture pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
texture scrape,SCRAPE,,NO_MATCH,not found in ucs_catid_list
